word	shaw	ipa	pos	var	confidence	notes
moldova	𐑥𐑪𐑤𐑛𐑴𐑝𐑩	mˌɒldˈəʊvə	UNC	RSSB	89	shave_says:𐑥𐑴𐑤𐑛𐑴𐑝𐑩
monroe	𐑥𐑩𐑯𐑮𐑴	mənrəʊ	UNC	RSSB	89	shave_says:𐑥𐑳𐑯𐑮𐑴
montenegro	𐑥𐑪𐑯𐑑𐑦𐑯𐑰𐑜𐑮𐑴	mɒntɪniːɡrəʊ	UNC	RSSB	89	shave_says:𐑥𐑪𐑯𐑑𐑩𐑯𐑱𐑜𐑮𐑴
montgomery	𐑥𐑩𐑯𐑑𐑜𐑳𐑥𐑼𐑦	məntɡʌməri	UNC	RSSB	89	shave_says:𐑥𐑪𐑯𐑑𐑜𐑪𐑥𐑼𐑦
mozart	𐑥𐑴𐑟𐑸𐑑	məʊzɑːRt	UNC	RSSB	89	shave_says:𐑥𐑴𐑑𐑕𐑸𐑑
muir	𐑥𐑘𐑩𐑼	mjəəR	UNC	RSSB	89	shave_says:𐑥𐑿𐑼
mumbai	𐑥𐑫𐑥𐑚𐑲	mˌʊmbˈaɪ	UNC	RSSB	89	shave_says:𐑥𐑳𐑥𐑚𐑲
mutatant	𐑥𐑿𐑑𐑩𐑯𐑑	mjuːtənt	UNC	RSSB	89	shave_says:𐑥𐑿𐑑𐑭𐑑𐑩𐑯𐑑
nicosia	𐑯𐑦𐑒𐑩𐑕𐑰𐑩	nˌɪkəsˈiːə	UNC	RSSB	89	shave_says:𐑯𐑦𐑒𐑩𐑕𐑾
nissan	𐑯𐑦𐑕𐑨𐑯	nˈɪsæn	UNC	RSSB	89	shave_says:𐑯𐑰𐑕𐑭𐑯
north-east	𐑯𐑹𐑔𐑰𐑕𐑑	nɔːRθiːst	UNC	RSSB	89	shave_says:𐑯𐑹𐑔-𐑰𐑕𐑑
north-west	𐑯𐑹𐑔𐑢𐑧𐑕𐑑	nɔːRθwest	UNC	RSSB	89	shave_says:𐑯𐑹𐑔-𐑢𐑧𐑕𐑑
oldbury	𐑴𐑤𐑛𐑚𐑮𐑦	əʊldbri	UNC	RSSB	89	shave_says:𐑴𐑤𐑛𐑚𐑼𐑦
