word	pos	var	shaw	ipa	confidence	source	status	readlex_var	shaw_override	pos_override	var_override	verdict	notes
a cappella	AV0	CotCaught	𐑷 𐑒𐑩𐑐𐑧𐑤𐑩	ˌɒ kəˈpelə	89	wiktionary	new						cot-caught variant of GenAm 𐑪 𐑒𐑩𐑐𐑧𐑤𐑩
a cappella	AV0	GenAm	𐑪 𐑒𐑩𐑐𐑧𐑤𐑩	ˌɒ kəˈpelə	89	wiktionary	new						
a cappella	AV0	RSSB	𐑨𐑒𐑩𐑐𐑧𐑤𐑩	ˌækəˈpelə	89	wiktionary	new						
a cappella	AV0	RSSB	𐑨𐑒𐑨𐑐𐑧𐑤𐑩	ˌækæˈpelə	89	wiktionary	new						
a cappella	NN1	CotCaught	𐑷 𐑒𐑩𐑐𐑧𐑤𐑩	ˌɒ kəˈpelə	89	wiktionary	new						cot-caught variant of GenAm 𐑪 𐑒𐑩𐑐𐑧𐑤𐑩
a cappella	NN1	GenAm	𐑪 𐑒𐑩𐑐𐑧𐑤𐑩	ˌɒ kəˈpelə	89	wiktionary	new						
a cappella	NN1	RSSB	𐑨𐑒𐑩𐑐𐑧𐑤𐑩	ˌækəˈpelə	89	wiktionary	new						
a cappella	NN1	RSSB	𐑨𐑒𐑨𐑐𐑧𐑤𐑩	ˌækæˈpelə	89	wiktionary	new						
a capriccio	AV0	CotCaught	𐑷 𐑒𐑷𐑐𐑮𐑦𐑑𐑗𐑴	ɒ kɒˈprittʃoʊ	89	wiktionary	new						cot-caught variant of GenAm 𐑪 𐑒𐑪𐑐𐑮𐑦𐑑𐑗𐑴
a capriccio	AV0	GenAm	𐑪 𐑒𐑪𐑐𐑮𐑦𐑑𐑗𐑴	ɒ kɒˈprittʃoʊ	89	wiktionary	new						
a closed mouth gathers no feet	UNC	RRP	𐑩 𐑒𐑤𐑴𐑟𐑛 𐑥𐑬𐑔 𐑜𐑨𐑞𐑼𐑟 𐑯𐑴 𐑓𐑰𐑑	ə ˈkləʊzd ˌmaʊθ ɡæðəRz nəʊ ˈfiːt	89	wiktionary	new						
A Coruña	NP0	CotCaught	𐑷 𐑒𐑼𐑫𐑯𐑘𐑩	ˌɒ kəˈrunjə	89	wiktionary	new						cot-caught variant of GenAm 𐑪 𐑒𐑼𐑫𐑯𐑘𐑩
A Coruña	NP0	GenAm	𐑪 𐑒𐑼𐑫𐑯𐑘𐑩	ˌɒ kəˈrunjə	89	wiktionary	new						
a day after the fair	AV0	GenAm	𐑩 𐑛𐑱 𐑨𐑓𐑑𐑼 𐑞𐑩 𐑓𐑺	ə ˈdeɪ ˌæftəR ðə ˈfeəR	89	wiktionary	new						
a day after the fair	AV0	RSSB	𐑩 𐑛𐑱 𐑭𐑓𐑑𐑼 𐑞𐑩 𐑓𐑺	ə ˈdeɪ ɑːftəR ðə feəR	89	wiktionary	new						
a few clowns short of a circus	UNC	GenAm	𐑩 𐑓𐑘𐑫 𐑒𐑤𐑬𐑯𐑟 𐑖𐑹𐑑 𐑩𐑝 𐑩 𐑕𐑻𐑒𐑩𐑕	ə fju klaʊnz ʃɔːRt əv ə sɜːRkəs	89	wiktionary	new						
A for effort	UNC	RRP	𐑱 𐑓𐑼 𐑧𐑓𐑼𐑑	ˈeɪ fəR efəRt	89	wiktionary	new						
